27.01.2016 12:32:14	Ansauglufttemperatur	Oeltemperatur	Drosselklappe	Pedalwert	Luftmassenmesser - Luftmasse	Motortemperatur
27.01.2016 12:37:59	14,250000	45,132004	0,102542	0,000000	10,250000	70,500000
27.01.2016 12:38:00	14,250000	45,132004	0,102542	0,000000	10,250000	70,500000
27.01.2016 12:38:02	14,250000	45,132004	0,102542	0,000000	10,250000	70,500000
27.01.2016 12:38:03	14,250000	45,132004	0,102542	0,000000	10,250000	70,500000
27.01.2016 12:38:04	14,250000	45,132004	0,102542	0,000000	10,250000	70,500000
27.01.2016 12:38:06	14,250000	45,928001	0,000000	14,527947	44,500000	71,250000
27.01.2016 12:38:07	15,000000	45,928001	1,025416	18,358608	54,500000	71,250000
27.01.2016 12:38:08	15,000000	45,928001	0,102542	0,000000	16,000000	71,250000
27.01.2016 12:38:10	14,250000	45,928001	1,435582	23,906841	63,000000	71,250000
27.01.2016 12:38:11	15,000000	45,928001	0,000000	10,433608	52,000000	71,250000
27.01.2016 12:38:12	14,250000	45,928001	0,102542	13,866920	24,500000	71,250000
27.01.2016 12:38:13	15,000000	46,723999	0,000000	14,396108	28,750000	71,250000
27.01.2016 12:38:15	15,000000	46,723999	0,000000	10,697286	21,750000	71,250000
27.01.2016 12:38:16	15,000000	46,723999	0,000000	17,829420	48,750000	72,000000
27.01.2016 12:38:17	15,000000	46,723999	0,102542	0,000000	12,250000	72,000000
27.01.2016 12:38:19	15,000000	47,520004	0,102542	18,226768	31,500000	72,000000
27.01.2016 12:38:20	15,750000	47,520004	1,538124	22,189270	53,750000	72,000000
27.01.2016 12:38:21	15,750000	47,520004	3,486414	22,584787	63,250000	72,000000
27.01.2016 12:38:22	15,000000	47,520004	0,000000	11,621991	28,500000	72,000000
27.01.2016 12:38:23	15,000000	47,520004	0,102542	0,000000	12,250000	72,750000
27.01.2016 12:38:25	15,000000	47,520004	0,102542	4,094339	13,750000	72,750000
27.01.2016 12:38:26	15,000000	47,520004	0,102542	7,659491	18,250000	72,750000
27.01.2016 12:38:27	15,000000	47,520004	0,102542	0,000000	12,750000	72,750000
27.01.2016 12:38:29	15,000000	48,316002	0,102542	5,941919	15,250000	72,750000
27.01.2016 12:38:30	15,000000	48,316002	0,102542	11,358314	24,500000	73,500000
27.01.2016 12:38:31	15,000000	48,316002	0,000000	16,906546	47,500000	73,500000
27.01.2016 12:38:33	15,000000	48,316002	0,000000	16,113680	42,750000	73,500000
27.01.2016 12:38:34	15,000000	48,316002	0,000000	14,925296	35,750000	73,500000
27.01.2016 12:38:35	15,000000	48,316002	0,102542	0,000000	12,500000	73,500000
27.01.2016 12:38:36	15,000000	48,316002	0,102542	0,000000	12,250000	74,250000
27.01.2016 12:38:38	15,000000	49,112000	0,102542	0,000000	12,500000	74,250000
27.01.2016 12:38:39	15,000000	49,112000	3,281331	22,057430	70,250000	74,250000
27.01.2016 12:38:40	16,500000	49,112000	8,613494	24,963387	79,750000	74,250000
27.01.2016 12:38:42	15,750000	49,112000	8,613494	24,697876	83,750000	74,250000
27.01.2016 12:38:43	15,000000	49,112000	7,895703	24,038681	86,250000	75,000000
27.01.2016 12:38:44	15,000000	49,112000	2,563540	8,716036	69,250000	75,000000
27.01.2016 12:38:46	14,250000	49,112000	0,102542	19,944342	46,250000	75,000000
27.01.2016 12:38:47	15,000000	49,907997	0,820333	19,810671	51,750000	75,000000
27.01.2016 12:38:48	15,000000	49,907997	2,050832	20,867216	61,750000	75,750000
27.01.2016 12:38:49	15,000000	49,907997	3,588956	21,925591	64,750000	75,750000
27.01.2016 12:38:51	15,000000	49,907997	1,743207	20,339859	60,000000	75,750000
27.01.2016 12:38:52	0	0	0	0	0	0
27.01.2016 12:38:54	15,000000	49,907997	5,947412	22,452948	75,250000	76,500000
27.01.2016 12:38:55	15,000000	50,704002	0,000000	17,170225	53,000000	76,500000
27.01.2016 12:38:57	15,000000	50,704002	6,767745	22,982136	79,250000	76,500000
27.01.2016 12:38:58	15,000000	50,704002	7,793161	23,377653	87,250000	77,250000
27.01.2016 12:38:59	15,000000	50,704002	0,000000	12,019341	32,500000	77,250000
27.01.2016 12:39:00	14,250000	50,704002	0,102542	10,829125	27,750000	77,250000
27.01.2016 12:39:02	14,250000	50,704002	0,102542	0,000000	13,750000	78,000000
27.01.2016 12:39:03	14,250000	50,704002	0,102542	6,734786	18,000000	78,000000
27.01.2016 12:39:04	14,250000	51,500000	0,102542	9,245224	23,250000	78,750000
27.01.2016 12:39:06	14,250000	51,500000	0,102542	0,000000	12,750000	78,750000
27.01.2016 12:39:07	14,250000	51,500000	0,102542	8,452357	19,500000	78,750000
27.01.2016 12:39:08	15,000000	51,500000	2,973706	21,132725	64,500000	78,750000
27.01.2016 12:39:09	15,000000	51,500000	0,000000	16,906546	50,500000	79,500000
27.01.2016 12:39:11	15,000000	51,500000	0,820333	17,963091	56,750000	79,500000
27.01.2016 12:39:12	15,000000	52,295998	2,563540	20,471697	71,750000	79,500000
27.01.2016 12:39:13	15,000000	52,295998	1,845749	19,415154	62,000000	79,500000
27.01.2016 12:39:15	15,000000	52,295998	0,102542	0,000000	15,500000	79,500000
27.01.2016 12:39:16	15,000000	52,295998	0,102542	0,000000	13,000000	79,500000
27.01.2016 12:39:17	15,000000	52,295998	0,102542	0,000000	12,500000	80,250000
27.01.2016 12:39:18	15,000000	52,295998	0,102542	0,000000	12,500000	80,250000
27.01.2016 12:39:20	15,000000	52,295998	0,102542	0,000000	12,250000	80,250000
27.01.2016 12:39:21	15,000000	52,295998	0,102542	0,000000	12,250000	80,250000
27.01.2016 12:39:22	15,000000	53,092003	0,102542	14,659786	36,500000	80,250000
27.01.2016 12:39:24	15,000000	53,092003	0,102542	0,000000	12,250000	80,250000
